typeOfChannel,delta,channelCoefficients,noiseVariance,SNR (dB),BPSKProbError,QAM4ProbError
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.397500,4.006629, 0.231125,0.392625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.395000,4.034029, 0.235125,0.396375
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.392500,4.061603, 0.218125,0.403125
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.390000,4.089354, 0.215875,0.386500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.387500,4.117283, 0.229250,0.393000
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.385000,4.145393, 0.219125,0.400250
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.382500,4.173686, 0.223250,0.390750
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.380000,4.202164, 0.223125,0.385375
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.377500,4.230830, 0.219500,0.388500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.375000,4.259687, 0.221000,0.388375
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.372500,4.288737, 0.221750,0.392125
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.370000,4.317983, 0.224250,0.383500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.367500,4.347427, 0.216750,0.385500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.365000,4.377071, 0.211375,0.381000
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.362500,4.406920, 0.211500,0.392625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.360000,4.436975, 0.220875,0.380375
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.357500,4.467240, 0.224000,0.372875
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.355000,4.497716, 0.219250,0.379750
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.352500,4.528409, 0.221250,0.383500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.350000,4.559320, 0.210625,0.379625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.347500,4.590452, 0.211500,0.384375
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.345000,4.621809, 0.209125,0.369750
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.342500,4.653394, 0.216500,0.381875
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.340000,4.685211, 0.203875,0.378875
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.337500,4.717262, 0.209625,0.367500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.335000,4.749552, 0.206500,0.372500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.332500,4.782084, 0.198000,0.364500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.330000,4.814861, 0.210750,0.369875
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.327500,4.847887, 0.209500,0.367250
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.325000,4.881166, 0.197250,0.370375
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.322500,4.914703, 0.194000,0.367625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.320000,4.948500, 0.200375,0.368250
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.317500,4.982563, 0.200875,0.361250
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.315000,5.016894, 0.199250,0.355750
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.312500,5.051500, 0.201750,0.353500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.310000,5.086383, 0.193625,0.352125
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.307500,5.121549, 0.194500,0.351625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.305000,5.157002, 0.197750,0.362125
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.302500,5.192746, 0.184750,0.354500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.300000,5.228787, 0.195750,0.343500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.297500,5.265130, 0.189750,0.346500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.295000,5.301780, 0.190625,0.348750
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.292500,5.338741, 0.185250,0.339625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.290000,5.376020, 0.188375,0.346875
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.287500,5.413622, 0.188625,0.341000
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.285000,5.451551, 0.186250,0.345000
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.282500,5.489815, 0.192125,0.344500
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.280000,5.528420, 0.187125,0.328625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.277500,5.567370, 0.187625,0.327625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.275000,5.606673, 0.189875,0.326375
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.272500,5.646335, 0.180375,0.324625
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.270000,5.686362, 0.175625,0.340000
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.267500,5.726762, 0.176500,0.327125
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.265000,5.767541, 0.181875,0.323000
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.262500,5.808707, 0.173000,0.317250
h(i) < h(j) if i < j,40.000000,0.000193 0.000235 0.000287 0.000351 0.000429 0.000524 0.000640 0.000781 0.000954 0.001165 0.001423 0.001738 0.002123 0.002593 0.003167 0.003869 0.004725 0.005772 0.007049 0.008610 0.010516 0.012845 0.015689 0.019162 0.023405 0.028587 0.034916 0.042646 0.052088 0.063621 0.077706 0.094911 0.115924 0.141590 0.172939 0.211228 0.257995 0.315115 0.384883 0.470097 0.574178 ,0.260000,5.850267, 0.173000,0.314625
